student,TH
0134f9f410c65ad0e8c2254a7e9288670e02a183,6.1846025880497395
035f97702f2c01d26ab1fae8f39ea2f98a0caa3c,6.327116689730297
06024da8147b5cf6105beb4c403f67cf1ff0aea1,6.3319003447338655
0aaebc88f6106684d6993c156104c1ef36cf94e0,6.875785915309946
0bf111a9caedf02804f6991792490e63bc21058a,8.252832003449235
0d815307d5307124d148bbebfb41497230c4bd15,7.28907992643636
0eb93817d6eb3d5bd3e44dbc75971eea193b924f,7.168591760873843
12887fd9a4df4ba9b88a71f3fb1d2502a75995dd,7.291779979880657
137ffd846ed245676a14f1d5e8676a4ef646182b,6.2681253308791804
138c5848f009c004f0b8e2379316d5ec18332ff8,5.131152402017098
209d7c77e7a150b6990a3372f7cb24da0c0e7e07,7.433921548679585
2383a9a33025aa8759fee9a890f6420df0fc8b47,6.182437429033595
248ff20c10b7d18c30fc84ce214936f5bb440e6e,6.411254465251351
2855b4b4d03c37c94117e615a25e0e321ec8d77a,6.811580742424503
2fa311a94bc0da6d97955730d071ad6fcc770bfd,7.195598817745715
326a025b5c23347b9eb2c5ceae75a5908a461f69,6.470419095077234
339fff79c43561c995b29972a962ccec846c599f,6.845190916075313
36dbfe4759f861ee72011812df2178cbbfd736a1,6.78330713935672
39713cf2db02601e4bd6360ba70f8013c0433f48,5.868552714047472
3d4f612148056feeb651f4711c1f640f5015101a,2.6176702769030173
410357eb9129023509cfaf8d38be61c050bb3b05,5.143152232140526
4dcdd4c95ba88786172619ebea8aad4ec757a150,7.251729225326683
4df58b4a53afe49f40e1c054f9a2e8553352e254,6.4032146305485025
4f571f241bb2d884216b4712cdcd482e310a718a,6.4450116119275
508e0627871ed482bd8ab34544e43e5d856a889c,6.526784271457963
50f17ae2d9048b293cc969aa8668b365f9773f1b,5.666514462701843
5235e36e00b0e927e6ce9f6f771ef92915857989,6.088886626799091
529d7e5b25e40c18bb7ea49be0963ed7f3e288ea,7.363920931943122
541270fc6468b9399001ee5a8bfa0cd380e1db60,5.828429264645372
549b4b9f5408631f8a062a6a3b71c496646ee0fb,6.449805024645972
55ef1cb9ba9a618396f8f82aefdc261d00864381,6.987627919565135
59b2a9ae92876d8ce54309fe82bb92d7cffbc794,6.362961842480268
5b023883ac089df249ef06f7c8c4398f37e1c55d,5.249163659998272
5c67cd01bb445f9b80d30f2c551d0d42776898fe,6.361647857381217
61c0c30e1af44a3ad57880bfab7a88591a434b92,6.142560901722615
6434afe6261c6f3f4fdbad511a2db8ef090f8c07,5.222554734913696
67212308d026508fd5b6942ffbbdd7b0be2e89de,4.4561729849146
67f697ac574661dca982dcd95ba358bde5b48a8e,6.064054429938928
7186e8a3fb8c0322eee7e354ed8f1669885f6774,5.176287210539358
72a34636b5a1de1c3796e43d5abc564b4d0803e7,6.3045121923271665
737dd3b5a70f36e8bb79f4c5cf86c7ccfb1e7d55,6.547696079482877
73c38d8466f153b974c09c066d1469f63b856d07,7.629023849889487
73ec1e02101d9e26fb75fe8580eec218d09ba78b,3.485472367361981
7494b38c6d82b590c4afa6cc975f583f51395177,6.590747799518049
75ef6c3aff156ef52aa846c2fc3b26271e50e335,6.6768778812760265
797c7c555f32a47816ca7f0c017002a2131c132a,5.868384158288134
798e6393c36bd3b6dc0a9f97de7d4c87a6e5b252,3.9503967774356714
79fb09750bdb85310622bf240e1060ef8de8bce1,6.051572451166752
84a17972cc6d29489bbe205a9e7feb8745726fbc,7.821783186504687
84b6b2d70924066c8345f2bc2281791ae3188da2,6.833381928443015
851d9a4b9b8e236f2d62282ddf06fae57b7d9492,7.47978563212886
8531dba6dd1818a4e3f3ba5e355e1e5ea9276afe,7.454820848465083
8554d1155712da4bc72ec5921db3227311265359,8.76371979995436
8576d2d269326a29503a1763996227723fa531a7,7.731533774622267
85838695003ef753ce13327655b84defa54d6eae,9.245743759187349
859c3b6fce7256abf5acfef957e6c04134c01e4b,7.178123042074201
85bebedd9d4605ff6823f6f25c761e64a588bf22,7.244178706138103
85bf028205803eb9b1e5494c540ddd2938606606,7.685668943162615
861075bc29124627aacce66a29c6dd835abcf3be,6.920495902663207
8674a295a4ae610ccd77b60cbaa692db6a875761,7.72090162409663
86a7e49131f2acbd350c4b0b9a2243838bd4e122,7.244761741889265
86adc493a1cc74328222a194a1d1e3adf098b5c8,6.723192982352845
86d9a98ab0225d2c2faf6d51fe3b9fad194c3ce3,6.347701692868595
87322721181928972ce2b67242f61ff23275f3dd,8.16094309772728
875e48fd13e52a01a4d48d745d72128f25b9ec81,8.441097696618405
87752697bce404c9b410be71a45e76f3c7fc9392,7.3416356866248105
87b3a5eca0c70c7828168756cd7813cc8b3285bd,7.769288317986625
