student,predicted_TH
00b6dd4fc7eb817e03708c532016ef30ce564a61,7.081866843959816
00bef8afee8f3c595d535c9c03c490cac1a4f021,7.821622841679647
01122b3ef7e59b84189e65985305f575d6bdf83c,7.874073820674434
0134f9f410c65ad0e8c2254a7e9288670e02a183,6.188713953139954
013de369c439ab0ead8aa7da64423aa395a8be39,7.575607566687733
014c59c6433fd764a0b08de6ffeb757eaf60aa73,6.992196105562404
0155f91fe242fe55e1af631b0f0afbe9938b185c,7.200878255998319
016f87a7bd87f233a8633fba8a1ca7ef5c3c63c1,8.173715759902297
017ec1bbad0d598e5a86ac3bd595b870b6456e61,8.09739479782734
01ad03ec301749c033155fc17e657cc767d447c8,7.896457085111163
020ef1c31cb4751bbfa1a88fba782db3c402e2fa,7.926829337393881
020f253c343856ea875e959023e79fb1d4d9c0a3,6.800105389800809
0248e16d134e1bd5b4352701e1f23b904b7c4cdf,7.946047229852099
024af5e4f76c23e7f08616c60e595453e538a1ba,7.565096951799948
0297fd76b36e100882756e636bb03031255f57da,8.058225762374086
02c88d535d7393d30ce3338174d0a17ee7e8b8cc,8.068419554432229
02f8a629f1a01a476de3944da2860d1c107f1b28,8.751333472255514
0304aa9c12a1c900dcb4413c6a4ce40cc05b1696,7.842017392218397
0306a80129ed6d5afadece8164929697bbbdea69,6.502923751324106
0341249377940c004d0823408ace7cddbddbc923,8.81231294850122
035f97702f2c01d26ab1fae8f39ea2f98a0caa3c,6.258103335379499
0367f82909c46a900501cc32d02b913923f75314,7.257340210462171
038dfa39ea11eb199e32e61fa4bd264d6d7ebc72,6.731884691925056
041dc9a457bc7a9f1dcb5b215aaa78a6868483f5,6.59987063659519
045792bbf5167d31c0064c8520d189a09f276502,7.228500624140762
04d32bf7b10a238244d3e1acc3bcf53a449daf99,8.897560025498594
04fea422f4b51279771239f896f7acb7224a2def,7.07912264006148
04feabadb3e2d863eded075f541be8ff78d50474,8.116857639801532
052039d5c5915699359b1d549b36ea69330c0ac3,7.083579866228463
05203b8a827f60a7cbb49a7d04a0b45dae39fa8d,9.01319043858508
05218d5a6d67f5c1d6305dffb907e940260304c1,8.677273232058894
0538762f44e8dfb07dc26c8c771f06080b9b2dee,7.084236431654132
056711f171807d5b28f83e7afeb3d7e18ec3a5d9,7.372701227112051
0577e3c1b0a6df46c7fef07f400b42811cc77250,9.021600880758989
057b868ab03f5596f4a8c2e579c401f2fe9a2dfe,7.076134441523195
05b134c1a682085880fb7ce76d221a48955e5b8a,8.179138639216799
05b7c7d664702d3677ddbf5a03e976e24b16544c,5.86630533830153
05ed34d40112c0d0c446cb9c00fa6e14851a7aa1,6.830265609598168
05f7b04136abf33daf80973c0942a91751222e1e,7.153461783721293
0601ede7fba3727ac6cae3653b12cebafea42863,7.958055459707499
06024da8147b5cf6105beb4c403f67cf1ff0aea1,6.503392960492669
0603b8a222e368a7727190b2883c7ad7b96ce5ac,6.9156954624753215
061a128e882272cd17340c8feb637cd0ff9e5dbf,7.805005446644265
062e8c58d3f85428aeed19095d12dcab6806f2ac,7.326604161453726
063c339a318b967ec77cd523f9ae4c62a7afa083,6.751052455841288
06490d06037ae75484a0a36a7a46e126b0b49495,7.74463786499646
0659d0431565eaacdc601973560ee8331f910947,7.3030403725020845
06b43a9d40f16603a72a6333318a5086b7bb7e12,8.096703202502361
070671333adf94dadc433fcafc872c6301dd0744,5.688978105990875
073de6e606b6b7f3f44a8e8301ee87c3c978a2e2,7.707431908104222
076cc92aff4d582b4b87ff0d111496e4a646b12b,7.034455359555164
0785a61c54bc37c6ddad3c02b29d1f9e15adf85b,6.985314019482354
0799ab89dacde8042474f7bfe75a739fd151b73d,6.178413033247624
080df7c3716ee6b773c346c67056400fc235ffec,7.963065390717088
081cbf0e54173c1b4c90be93a514521bc9c710fb,6.6693969932967345
081f6737145108d2cfb3e432f03d59670bae3ded,7.231048962015796
0821ac06ae77101d7dd9b8dd103f79ffa46657ab,6.813483911032702
08399013cfa671c37b50b71ef25f1b2fd606c009,8.43808794080092
08838c74dc4154d8f49b1408d27fb46ccb92d329,6.850764334674178
08b8ccf18df77b125fb5306e9ffb55ad284e1872,6.984137714680864
091ed1fe8fc042e202205f09f3d49a065c0f4da2,7.157901790252654
092370bceb84374c83ca09e8d8f93c837d923bc7,8.55755192370555
09cbbae64d03af8ca53224aaef7657171ba27f50,6.711517494032819
09cbe188b9d1e965edf6c1c46a96b9306ec2f329,6.65807775314693
0a2c78cee9afdc522c5f0fae46937138f47b152b,4.057255840100318
0a99205e11c0c6d86b348a926f693d6529e0210f,5.395187491534184
0a9b6ec3e82e8a2527b21eb3420a6d9b72f4f71e,8.40620202730804
0aad9682c3c4280eb05dbd27e6cab55f4b1ae4b4,5.857066203260589
0aaebc88f6106684d6993c156104c1ef36cf94e0,6.739548843414772
0ac20d28419a43394bc94b257c7aab70e87f1675,6.789553442238733
0aee33404db5dc946de8c70be37c6e82582885c6,8.6390220235309
0af47eed4e0bd9c21637fc39db8fc17fedb6b1c0,6.843068488544487
0aff6f7083979073168bbdd6c227015eb09eced9,7.00173936702671
0b066d297dd2f4288d95b0f4a92a8af79b542bf3,6.474864740140987
0b18b1d653e0d031e1aee9129432b668c4264d3f,7.838027015008733
0b26c12ecc1bc4c1f127d5e6f6302b1b0b584faf,3.925428518071818
0b4355398b9c16ac0a7f559752e83b655f5aa6c7,7.230736939626138
0ba5c041f797e8baecc5f32034046994b801cbcf,5.8269066997101575
0bd2037bf68a97753e5e67ab55dac026a649f279,6.674432067229148
0bd4c0cd006b55dbfa7806aa4b45926119ce9540,7.4846924008544065
0bf111a9caedf02804f6991792490e63bc21058a,8.217819846269471
0bf71ee0dbde0fb1033887111d3094c61e66f44b,7.321107248403314
0c67423aa82630d4406e9477bb7462db4df09c4d,8.337509958934874
0c9cad573ea42e5a8d9058b834cbc9255128d54b,6.8593251521653045
0cab57d7705bafe60116d29a1019a774cd661f02,7.571904123726172
0d05b13c0460dbd3e3e99537d6eb4665b0dd194b,8.051819712559189
0d667a9fcdc7162fa7182f0e14302a56dbe700c5,4.893932700722729
0d815307d5307124d148bbebfb41497230c4bd15,7.062675643124048
0dd138a9a2b0349ede3fee340cb02e40197aea3d,8.066941625080187
0de8af23bfda13f21ed67e41a5aace53ff8aef99,8.157613698732348
0dfa65b4dafad47b15abbfd6c6ce1aeb213901cf,4.047495993585472
0e0d9e9f9bc2173402e77be7eaaaf0d562168009,5.970005281051062
0e346c62a6706465a1c49c59224eed1cdb5f7f5c,6.842630336557388
0e51dc16b3d9de6cbcada8abb58ddeddb448b6e8,6.704014911063511
0e63b2194be2efd4b5b5f2b6e2d77ac12aaadec3,3.6190623745657455
0eb93817d6eb3d5bd3e44dbc75971eea193b924f,6.434715278687283
0ee9ac569e379f04a42a18c88cca093ef1121ab8,6.96512192679409
0f0664021ebbec70b1d3bb5a5419e22507179671,8.661214691327778
